Issuer,Ticker,Coupon,Maturity,Issue Date,ISIN,Principal Currency,Country of Issue,Issuer Type,Instrument Type,Coupon Type,Amount Issued (USD),Bond Grade,Yield to Maturity,Option Adjusted Spread,Amount Outstanding,Parent Domicile,Sector,Rating,Actual,Outlook,Watch,Scope
Plains All American Pipeline LP,PAA,4.6500,14/10/2025,23/08/2015,US72650RBJ05,US Dollar,United States,Corporate,Note,Plain Vanilla Fixed Coupon,"1,000,000,000",Investment Grade,5.5344170,110.1,"1,000,000,000",United States,Oil and Gas,BBB-,Actual,Rating Outlook Positive,,Foreign
PECO Energy Co,EXCPEC,3.1500,14/10/2025,4/10/2015,US693304AT44,US Dollar,United States,Corporate,Bond,Plain Vanilla Fixed Coupon,"350,000,000",Investment Grade,4.8824450,47.2,"350,000,000",United States,Utility - Other,A-,Actual,Rating Outlook Stable,,Foreign
Enbridge Energy Partners LP,ENBMP,5.8750,14/10/2025,5/10/2015,US29250RAW60,US Dollar,United States,Corporate,Note,Plain Vanilla Fixed Coupon,"500,000,000",Investment Grade,5.4404210,91.3,"500,000,000",Canada,Transportation - Other,BBB+,Actual,Rating Outlook Stable,,Foreign
Turkcell Iletisim Hizmetleri AS,TCELL,5.7500,14/10/2025,14/10/2015,XS1298711729,US Dollar,Eurobond,Corporate,Note,Plain Vanilla Fixed Coupon,"500,000,000",High Yield,8.3566530,396.1,"500,000,000",Turkey,Telecommunications,B,Actual,Rating Outlook Negative,,Foreign
Turkcell Iletisim Hizmetleri AS,TCELL,5.7500,14/10/2025,14/10/2015,US900111AA39,US Dollar,United States,Corporate,Note,Plain Vanilla Fixed Coupon,"500,000,000",High Yield,8.3566530,394.2,"500,000,000",Turkey,Telecommunications,B,Actual,Rating Outlook Negative,,Foreign
Banque Federative du Credit Mutuel SA,CAFDDC,0.9990,14/10/2025,14/10/2015,JP525020DFA1,Japanese Yen,Japan,Corporate,Bond,Plain Vanilla Fixed Coupon,"89,123,867",Investment Grade,0.8490000,87.3,"11,800,000,000",France,Banking,A+,Actual,Rating Outlook Stable,,Foreign
Hewlett Packard Enterprise Co,HPE,4.9000,14/10/2025,29/12/2016,US42824CAW91,US Dollar,United States,Corporate,Note,Step Up / Step Down,"2,493,597,000",Investment Grade,5.2614420,79.9,"2,493,597,000",United States,Information/Data Technology,BBB+,Actual,Rating Outlook Stable,,Foreign
Deutsche Pfandbriefbank AG,PBBG,0.0100,15/10/2025,15/10/2019,DE000A2YNVM8,Euro,Germany,Corporate,Hypothekenpfandbrief (Covered Bond),Plain Vanilla Fixed Coupon,"803,996,398",Investment Grade,3.3466520,64.4,"750,000,000",Germany,Banking,WD,Actual,,,Foreign
Toyota Motor Credit Corp,TOYOMF,0.8000,15/10/2025,15/10/2020,US89236THP30,US Dollar,United States,Corporate,Note,Plain Vanilla Fixed Coupon,"1,000,000,000",Investment Grade,4.8816320,48.2,"1,000,000,000",Japan,Financial - Other,A+,Actual,Rating Outlook Stable,,Foreign
Petroleos Mexicanos,PEMEX,6.8750,15/10/2025,29/03/2022,US71654QDH20,US Dollar,United States,Corporate,Note,Plain Vanilla Fixed Coupon,"901,836,000",Investment Grade,6.9926440,255.7,"901,836,000",Mexico,Oil and Gas,BB-,Actual,Rating Outlook Stable,,Foreign
Commonwealth Bank of Australia,CBA,4.2000,15/10/2025,15/10/2014,XS1116627891,Japanese Yen,Eurobond,Corporate,Note,Pay at Maturity Fixed,"3,052,270",Investment Grade,--,--,"400,000,000",Australia,Banking,A+,Actual,Rating Outlook Stable,,Foreign
Berlin Hyp AG,LKBFR,0.0100,16/10/2025,16/10/2019,DE000BHY0BV4,Euro,Germany,Corporate,Hypothekenpfandbrief (Covered Bond),Plain Vanilla Fixed Coupon,"107,199,519",Investment Grade,3.5384700,83.3,"100,000,000",Germany,Banking,A-,Actual,Rating Outlook Stable,,Foreign
DZ BANK AG Deutsche Zentral Genossenschaftsbank Frankfurt am Main,DBANK,2.6000,16/10/2025,17/10/2022,DE000DW6CYS3,Euro,Germany,Corporate,Inhaberschuldverschreibung,Plain Vanilla Fixed Coupon,"106,749,789",Investment Grade,--,--,"100,000,000",Germany,Banking,AA-,Actual,Rating Outlook Stable,,Foreign
Suncorp-Metway Ltd,SUNCM,4.2039,16/10/2025,16/10/2022,AU3FN0072617,Australian Dollar,Australia,Corporate,Covered Bond (Other),Fixed Margin over Index,"383,075,047",Investment Grade,4.2242150,--,"550,000,000",Australia,Banking,A,Actual,,Rating Watch Positive,Foreign
Suncorp-Metway Ltd,SUNCM,4.8500,16/10/2025,16/10/2022,AU3CB0293157,Australian Dollar,Australia,Corporate,Covered Bond (Other),Plain Vanilla Fixed Coupon,"139,300,017",Investment Grade,4.6754330,120.5,"200,000,000",Australia,Banking,A,Actual,,Rating Watch Positive,Foreign
BNP Paribas SA,BNPP,3.5350,16/10/2025,16/10/2022,FR001400DAS5,Euro,Eurobond,Corporate,Note,Plain Vanilla Fixed Coupon,"69,387,362",Investment Grade,--,--,"65,000,000",France,Banking,A+,Actual,Rating Outlook Stable,,Foreign
AIA Group Ltd,AIAGP,5.0400,16/10/2025,23/10/2022,HK0000881463,Hong Kong Dollar,Eurobond,Corporate,Note,Plain Vanilla Fixed Coupon,"152,870,136",Investment Grade,4.7429290,80.7,"1,200,000,000",Hong Kong,Life Insurance,AA-,Actual,Rating Outlook Stable,,Foreign
Credit Agricole Corporate and Investment Bank SA,CAGRAB,5.0100,17/10/2025,17/10/2022,HK0000881257,Hong Kong Dollar,Eurobond,Corporate,Note,Plain Vanilla Fixed Coupon,"38,217,534",Investment Grade,5.4714340,150.2,"300,000,000",France,Banking,A+,Actual,Rating Outlook Stable,,Foreign
Barclays Bank PLC,BARCR,2.7420,19/10/2025,19/10/2017,XS1620630571,Euro,Eurobond,Corporate,Note,Fixed Margin over Index,"64,319,711",Investment Grade,4.0258930,--,"60,000,000",United Kingdom,Banking,A+,Actual,Rating Outlook Stable,,Foreign
Iccrea Banca SpA Istituto Centrale del Credito Cooperativo,ICCRT,2.2500,19/10/2025,19/10/2020,XS2239094936,Euro,Eurobond,Corporate,Note,Fixed then Floating,"535,997,598",High Yield,5.0654330,185.3,"500,000,000",Italy,Banking,BB+,Actual,Rating Outlook Stable,,Foreign
Citigroup Global Markets Holdings Inc,CCGMH,5.7000,19/10/2025,19/10/2022,US17330RVT93,US Dollar,United States,Corporate,Note,Plain Vanilla Fixed Coupon,"92,416,000",Investment Grade,6.4626660,195.0,"92,416,000",United States,Securities,A+,Actual,Rating Outlook Stable,,Foreign
Thermo Fisher Scientific Inc,TMO,0.8530,19/10/2025,19/10/2022,XS2548076053,Japanese Yen,Eurobond,Corporate,Note,Plain Vanilla Fixed Coupon,"169,697,892",Investment Grade,--,--,"22,300,000,000",United States,Electronics,BBB+,Actual,Rating Outlook Stable,,Foreign
Shinhan Bank,SHINBC,0.9800,19/10/2025,19/10/2022,JP541034BNA0,Japanese Yen,Japan,Corporate,Bond,Plain Vanilla Fixed Coupon,"86,858,006",Investment Grade,1.0800000,110.0,"11,500,000,000",South Korea,Banking,A,Actual,Rating Outlook Stable,,Foreign
Mizuho Financial Group Inc,MZFG,4.3530,19/10/2025,19/10/2015,US60687YAA73,US Dollar,United States,Corporate,Note,Plain Vanilla Fixed Coupon,"750,000,000",Investment Grade,5.7267120,131.8,"750,000,000",Japan,Banking,A-,Actual,Rating Outlook Stable,,Foreign
Mizuho Financial Group Inc,MZFG,4.3530,19/10/2025,19/10/2015,USJ4599LAH53,US Dollar,Eurobond,Corporate,Note,Plain Vanilla Fixed Coupon,"750,000,000",Investment Grade,5.7071390,131.8,"750,000,000",Japan,Banking,A-,Actual,Rating Outlook Stable,,Foreign
Landesbank Hessen Thueringen Girozentrale,HLBG,0.5500,19/10/2025,19/10/2016,DE000HLB3QX7,Euro,Germany,Corporate,Inhaberschuldverschreibung,Plain Vanilla Fixed Coupon,"107,199,519",Investment Grade,4.1780740,146.1,"100,000,000",Germany,Banking,A+,Actual,Rating Outlook Stable,,Foreign
Southern Gas Networks PLC,SCATSG,2.0660,20/10/2025,20/10/2005,XS0232335173,British Pound,Eurobond,Corporate,Bond,Plain Vanilla Fixed Coupon,"182,025,580",Investment Grade,2.9777650,--,"150,000,000",United Kingdom,Gas Utility - Local Distrib,BBB,Actual,Rating Outlook Stable,,Foreign
Credit Agricole SA,CAGR,0.3750,20/10/2025,20/10/2019,XS2067135421,Euro,Eurobond,Corporate,Note,Plain Vanilla Fixed Coupon,"1,071,995,197",Investment Grade,3.3987790,69.7,"1,000,000,000",France,Banking,A+,Actual,Rating Outlook Stable,,Foreign
DekaBank Deutsche Girozentrale,DEKDE,0.2300,20/10/2025,20/10/2019,DE000DK0T0E8,Euro,Germany,Corporate,Inhaberschuldverschreibung,Plain Vanilla Fixed Coupon,"107,199,519",Investment Grade,3.9335190,122.3,"100,000,000",Germany,Financial - Other,WD,Actual,,,Foreign
Morgan Stanley,MS,0.8640,20/10/2025,20/10/2020,US6174468R33,US Dollar,United States,Corporate,Note,Fixed then Floating,"1,000,000,000",Investment Grade,5.6252000,106.1,"1,000,000,000",United States,Banking,A+,Actual,Rating Outlook Stable,,Foreign
Morgan Stanley,MS,1.1640,20/10/2025,18/10/2021,US61747YEG61,US Dollar,United States,Corporate,Note,Fixed then Floating,"2,500,000,000",Investment Grade,5.5311910,102.0,"2,500,000,000",United States,Banking,A+,Actual,Rating Outlook Stable,,Foreign
Goldman Sachs Group Inc,GS,4.2500,20/10/2025,20/10/2015,US38141GVR28,US Dollar,United States,Corporate,Note,Plain Vanilla Fixed Coupon,"2,000,000,000",Investment Grade,5.3477700,94.0,"2,000,000,000",United States,Banking,A,Actual,Rating Outlook Stable,,Foreign
Lloyds Bank PLC,LLOYOD,1.6539,20/10/2025,19/10/2005,XS0231094763,Japanese Yen,Eurobond,Corporate,Note,Fixed then Floating,"7,552,870",Investment Grade,--,--,"1,000,000,000",United Kingdom,Banking,A+,Actual,Rating Outlook Stable,,Foreign
Berlin Hyp AG,LKBFR,0.6250,21/10/2025,21/10/2018,DE000BHY0GC3,Euro,Germany,Corporate,Hypothekenpfandbrief (Covered Bond),Plain Vanilla Fixed Coupon,"535,997,598",Investment Grade,3.2921110,59.2,"500,000,000",Germany,Banking,A-,Actual,Rating Outlook Stable,,Foreign
Bank of America Corp,BAC,2.4560,21/10/2025,21/10/2019,US06051GHW24,US Dollar,United States,Corporate,Note,Fixed then Floating,"2,000,000,000",Investment Grade,5.6469930,85.5,"2,000,000,000",United States,Banking,AA-,Actual,Rating Outlook Stable,,Foreign
Bayerische Landesbank,BLGG,3.2430,21/10/2025,21/09/2020,DE000BLB83C0,Euro,Germany,Corporate,Inhaberschuldverschreibung,Fixed Margin over Index,"107,199,519",Investment Grade,3.6623170,--,"100,000,000",Germany,Banking,A-,Actual,Rating Outlook Stable,,Foreign
Agricultural Bank of China Ltd (Hong Kong Branch),AGBKCK,1.2000,21/10/2025,21/10/2020,XS2243171746,US Dollar,Eurobond,Corporate,Note,Plain Vanilla Fixed Coupon,"350,000,000",Investment Grade,5.1387340,76.2,"350,000,000",China (Mainland),Banking,A,Actual,Rating Outlook Stable,,Foreign
Union Bank of the Philippines,UBP,2.1250,21/10/2025,21/10/2020,XS2244367269,US Dollar,Eurobond,Corporate,Note,Plain Vanilla Fixed Coupon,"300,000,000",Investment Grade,5.6374240,125.8,"300,000,000",Philippines,Banking,WD,Actual,,,Foreign
Country Garden Holdings Co Ltd,CGHCL,3.1250,21/10/2025,21/10/2020,XS2240971742,US Dollar,Eurobond,Corporate,Note,Plain Vanilla Fixed Coupon,"1,000,000,000",High Yield,21.9586270,"1,759.1","1,000,000,000",British Virgin Islands,Service - Other,WD,Actual,Rating Outlook Negative,,Foreign
Bper Banca SpA,EMII,0.5000,21/10/2025,15/11/2021,IT0005467193,Euro,Italy,Corporate,Obbligazione Bancaria Garantita (Covered Bond),Plain Vanilla Fixed Coupon,"428,798,078",Investment Grade,3.4607620,75.8,"400,000,000",Italy,Banking,BB+,Actual,Rating Outlook Positive,,Foreign
Erste Group Bank AG,ERST,4.0000,21/10/2025,21/10/2014,AT0000A19NR2,Euro,Austria,Corporate,Inhaberschuldverschreibung,Plain Vanilla Fixed Coupon,"267,998,799",Investment Grade,5.8871100,312.2,"250,000,000",Austria,Banking,A,Actual,Rating Outlook Stable,,Foreign
OCP SA,OCP,4.5000,21/10/2025,21/04/2015,US67091TAC99,US Dollar,United States,Corporate,Note,Plain Vanilla Fixed Coupon,"1,000,000,000",High Yield,6.0313960,162.4,"554,616,000",Morocco,Conglomerate/Diversified Mfg,BB+,Actual,Rating Outlook Stable,,Foreign
OCP SA,OCP,4.5000,21/10/2025,21/04/2015,XS1221677120,US Dollar,Eurobond,Corporate,Note,Plain Vanilla Fixed Coupon,"1,000,000,000",High Yield,6.0313960,164.3,"554,616,000",Morocco,Conglomerate/Diversified Mfg,BB+,Actual,Rating Outlook Stable,,Foreign
Goldman Sachs Group Inc,GS,2.0830,21/10/2025,21/10/2015,XS1291167226,Euro,Eurobond,Corporate,Note,Fixed then Floating,"165,443,162",Investment Grade,4.1015110,--,"154,332,000",United States,Banking,A,Actual,Rating Outlook Stable,,Foreign
Bayerische Landesbank,BLGG,1.2000,21/10/2025,21/10/2015,DE000BLB3TL2,Euro,Germany,Corporate,Inhaberschuldverschreibung,Step Up / Step Down,"107,199,519",Investment Grade,4.2567840,153.8,"100,000,000",Germany,Banking,A-,Actual,Rating Outlook Stable,,Foreign
Canadian Imperial Bank of Commerce,CM,0.9500,22/10/2025,22/10/2020,US13607GRR73,US Dollar,United States,Corporate,Note,Plain Vanilla Fixed Coupon,"500,000,000",Investment Grade,5.0302660,63.6,"500,000,000",Canada,Banking,AA-,Actual,Rating Outlook Stable,,Foreign
ABN Amro Bank NV,ABNAM,3.1000,22/10/2025,22/10/2015,XS1309526157,Norwegian Krone,Eurobond,Corporate,Note,Plain Vanilla Fixed Coupon,"49,551,067",Investment Grade,4.7631360,144.5,"500,000,000",Netherlands,Banking,A,Actual,Rating Outlook Stable,,Foreign
Toyota Motor Credit Corp,TOYOMF,3.5000,23/10/2025,24/10/2018,XS1885506813,US Dollar,Eurobond,Corporate,Note,Step Up / Step Down,"640,700,000",Investment Grade,4.9139030,46.3,"640,700,000",Japan,Financial - Other,A+,Actual,Rating Outlook Stable,,Foreign
Kyushu Electric Power Co Inc,KYUEP,0.3000,23/10/2025,23/10/2018,JP324640AJA7,Japanese Yen,Japan,Corporate,Bond,Plain Vanilla Fixed Coupon,"151,057,401",Investment Grade,0.3800000,40.1,"20,000,000,000",Japan,Utility - Other,WD,Actual,,,Foreign
Kansai Electric Power Co Inc,KANEP,0.4100,23/10/2025,13/10/2022,JP322860ANA5,Japanese Yen,Japan,Corporate,Bond,Plain Vanilla Fixed Coupon,"151,057,401",Investment Grade,0.4100000,43.1,"20,000,000,000",Japan,Utility - Other,WD,Actual,,,Foreign
Commonwealth Bank of Australia,CBA,3.2460,23/10/2025,23/10/2022,XS2544645117,Euro,Eurobond,Corporate,Covered Bond (Other),Plain Vanilla Fixed Coupon,"1,071,995,197",Investment Grade,3.5508610,84.3,"1,000,000,000",Australia,Banking,A+,Actual,Rating Outlook Stable,,Foreign
Chubu Electric Power Co Inc,CHUBU,0.2700,23/10/2025,18/10/2022,JP352660ANA2,Japanese Yen,Japan,Corporate,Bond,Plain Vanilla Fixed Coupon,"151,057,401",Investment Grade,0.3000000,32.1,"20,000,000,000",Japan,Utility - Other,WD,Actual,,,Foreign
Citizens Bank NA,CFGTZ,6.0640,23/10/2025,24/10/2022,US75524KPT50,US Dollar,United States,Corporate,Note,Fixed then Floating,"600,000,000",Investment Grade,5.6454260,75.4,"600,000,000",United States,Banking,BBB+,Actual,Rating Outlook Positive,,Foreign
Perusahaan Listrik Negara (Persero) PT,PLNEG,2.8750,24/10/2025,24/10/2018,XS1891336932,Euro,Eurobond,Corporate,Note,Plain Vanilla Fixed Coupon,"535,997,598",Investment Grade,4.2352490,150.8,"500,000,000",Indonesia,Utility - Other,BBB,Actual,Rating Outlook Stable,,Foreign
Perusahaan Listrik Negara (Persero) PT,PLNEG,2.8750,24/10/2025,24/10/2018,XS1895571328,Euro,United States,Corporate,Note,Plain Vanilla Fixed Coupon,"535,997,598",Investment Grade,4.1913310,150.8,"500,000,000",Indonesia,Utility - Other,BBB,Actual,Rating Outlook Stable,,Foreign
Credito Emiliano SpA,EMBI,1.5000,24/10/2025,24/10/2019,XS2068978050,Euro,Eurobond,Corporate,Note,Fixed then Floating,"535,997,598",High Yield,4.7991030,200.1,"500,000,000",Italy,Banking,BBB,Actual,Rating Outlook Stable,,Foreign
BAWAG PSK Bank fuer Arbeit und Wirtschaft und Oesterreichische Postsparkasse AG,BAWGA,0.0000,24/10/2025,14/06/2020,AT0000A2GK37,Euro,Austria,Corporate,Fundierte Schuldverschreibungen (Covered Bond),Zero Coupon,"187,599,159",Investment Grade,3.3498380,65.2,"175,000,000",Austria,Banking,WD,Actual,,,Foreign
Citigroup Global Markets Holdings Inc,CCGMH,3.7000,24/10/2025,24/08/2022,XS2495936309,Chinese Yuan,Eurobond,Corporate,Note,Plain Vanilla Fixed Coupon,"60,408,403",Investment Grade,--,--,"411,200,000",United States,Securities,A+,Actual,Rating Outlook Stable,,Foreign
Banco Comercial Portugues SA,BCP,8.5000,24/10/2025,24/10/2022,PTBCPBOM0062,Euro,Eurobond,Corporate,Note,Fixed then Floating,"375,198,319",Investment Grade,6.6623700,277.9,"350,000,000",Portugal,Banking,BB,Actual,Rating Outlook Positive,,Foreign
Standard Chartered Bank,STANHB,3.8500,24/10/2025,24/10/2022,HK0000881588,Chinese Yuan,Eurobond,Corporate,Note,Plain Vanilla Fixed Coupon,"14,690,759",Investment Grade,--,--,"100,000,000",United Kingdom,Banking,A+,Actual,Rating Outlook Stable,,Foreign
Coventry Building Society,CVB,4.2727,25/10/2025,14/10/2020,XS2245745927,British Pound,Eurobond,Corporate,Covered Bond (Other),Fixed Margin over Index,"606,751,935",Investment Grade,--,--,"500,000,000",United Kingdom,Mortgage Banking,A-,Actual,Rating Outlook Stable,,Foreign
DZ Hyp AG,DGBGEN,2.5900,26/10/2025,26/10/2005,DE000A0EUM42,Swiss Franc,Germany,Corporate,Oeffentlicher Pfandbrief (Covered Bond),Plain Vanilla Fixed Coupon,"108,790,252",Investment Grade,1.9092690,66.8,"100,000,000",Germany,Mortgage Banking,AA-,Actual,Rating Outlook Stable,,Foreign
Toyota Motor Finance Netherlands BV,TOYOTF,0.0000,26/10/2025,26/10/2021,XS2400997131,Euro,Eurobond,Corporate,Note,Plain Vanilla Fixed Coupon,"803,996,398",Investment Grade,3.5132460,81.4,"750,000,000",Japan,Financial - Other,A+,Actual,Rating Outlook Stable,,Foreign
Deutsche Pfandbriefbank AG,PBBG,0.2500,26/10/2025,26/10/2021,DE000A3T0X22,Euro,Germany,Corporate,Inhaberschuldverschreibung,Plain Vanilla Fixed Coupon,"750,396,638",Investment Grade,4.4470700,172.9,"700,000,000",Germany,Banking,WD,Actual,,,Foreign
First Abu Dhabi Bank PJSC,FAB,1.5100,26/10/2025,25/10/2021,XS2401762625,Hong Kong Dollar,Eurobond,Corporate,Note,Plain Vanilla Fixed Coupon,"31,210,986",Investment Grade,5.3925340,143.9,"245,000,000",United Arab Emirates,Banking,AA-,Actual,Rating Outlook Stable,,Foreign
Bank of Nova Scotia,BNS,4.2821,26/10/2025,26/10/2022,AU3FN0072757,Australian Dollar,Australia,Corporate,Note,Fixed Margin over Index,"696,500,087",Investment Grade,4.2242830,--,"1,000,000,000",Canada,Banking,AA-,Actual,Rating Outlook Stable,,Foreign
Fifth Third Bank NA (OHIO),FITBTH,5.8520,26/10/2025,26/10/2022,US31677QBT58,US Dollar,United States,Corporate,Note,Fixed then Floating,"1,000,000,000",Investment Grade,5.4630970,51.2,"1,000,000,000",United States,Banking,A-,Actual,Rating Outlook Stable,,Foreign
Dexia Credit Local SA,DEXID,1.2500,26/10/2025,26/10/2015,XS1310941247,Euro,Eurobond,Corporate,Note,Plain Vanilla Fixed Coupon,"964,795,677",Investment Grade,3.3080040,61.0,"900,000,000",Belgium,Banking,BBB+,Actual,Rating Outlook Stable,,Foreign
Hammerson PLC,HMSO,3.5000,26/10/2025,26/10/2015,XS1311391012,British Pound,Eurobond,Corporate,Note,Plain Vanilla Fixed Coupon,"424,726,354",Investment Grade,7.7678750,419.6,"350,000,000",United Kingdom,Real Estate Investment Trust,BBB,Actual,Rating Outlook Stable,,Foreign
DekaBank Deutsche Girozentrale,DEKDE,3.5000,26/10/2025,26/10/2015,DE000DK0D8S9,Euro,Germany,Corporate,Inhaberschuldverschreibung,Plain Vanilla Fixed Coupon,"107,521,118",Investment Grade,5.7600830,300.2,"100,300,000",Germany,Financial - Other,WD,Actual,,,Foreign
Banco de Chile,CHILX,3.0450,26/10/2025,26/10/2015,XS1313048974,Hong Kong Dollar,Eurobond,Corporate,Note,Plain Vanilla Fixed Coupon,"77,454,202",Investment Grade,5.2160580,126.7,"608,000,000",Chile,Banking,WD,Actual,,,Foreign
Societe Generale SFH SA,SOGNER,0.3560,26/10/2025,26/10/2016,FR0013215589,Euro,France,Corporate,Obligation de Financement de l'Habitat (Covered Bond),Plain Vanilla Fixed Coupon,"535,997,598",Investment Grade,3.6183930,91.7,"500,000,000",France,Financial - Other,WD,Actual,,,Foreign
Lloyds Bank PLC,LLOYOD,3.6603,26/10/2025,25/10/2005,XS0232498807,Japanese Yen,Eurobond,Corporate,Note,Fixed then Reverse Float,"2,265,861",Investment Grade,--,--,"300,000,000",United Kingdom,Banking,A+,Actual,Rating Outlook Stable,,Foreign
Meituan,MTUAN,2.1250,27/10/2025,27/10/2020,US58533EAB92,US Dollar,United States,Corporate,Note,Plain Vanilla Fixed Coupon,"750,000,000",Investment Grade,5.9323430,153.9,"750,000,000",China (Mainland),Service - Other,BBB-,Actual,Rating Outlook Negative,,Foreign
Meituan,MTUAN,2.1250,27/10/2025,27/10/2020,USG59669AB07,US Dollar,Eurobond,Corporate,Note,Plain Vanilla Fixed Coupon,"750,000,000",Investment Grade,5.9323430,155.8,"750,000,000",China (Mainland),Service - Other,BBB-,Actual,Rating Outlook Negative,,Foreign
Bper Banca SpA,EMII,3.0680,27/10/2025,10/11/2021,IT0005467201,Euro,Eurobond,Corporate,Covered Bond (Other),Fixed Margin over Index,"747,248,524",Investment Grade,--,--,"700,000,000",Italy,Banking,BB+,Actual,Rating Outlook Positive,,Foreign
Bper Banca SpA,EMII,0.5000,27/10/2025,10/11/2021,IT0005467185,Euro,Italy,Corporate,Obbligazione Bancaria Garantita (Covered Bond),Plain Vanilla Fixed Coupon,"1,822,391,835",Investment Grade,3.4609050,76.2,"1,700,000,000",Italy,Banking,BB+,Actual,Rating Outlook Positive,,Foreign
Wells Fargo & Co,WFC,6.0000,27/10/2025,27/10/2022,US95001DCG34,US Dollar,United States,Corporate,Note,Plain Vanilla Fixed Coupon,"342,590,000",Investment Grade,5.8822910,55.9,"342,590,000",United States,Banking,A+,Actual,Rating Outlook Stable,,Foreign
Societe Generale SFH SA,SOGNER,3.0000,27/10/2025,27/10/2022,FR001400DHZ5,Euro,France,Corporate,Obligation de Financement de l'Habitat (Covered Bond),Plain Vanilla Fixed Coupon,"1,607,992,796",Investment Grade,3.3454410,64.3,"1,500,000,000",France,Financial - Other,WD,Actual,,,Foreign
PNC Financial Services Group Inc,PNC,5.6710,27/10/2025,27/10/2022,US693475BH73,US Dollar,United States,Corporate,Note,Fixed then Floating,"1,000,000,000",Investment Grade,5.5633190,75.2,"1,000,000,000",United States,Banking,A+,Actual,Rating Outlook Stable,,Foreign
Erste Group Bank AG,ERST,4.5015,27/10/2025,27/10/2015,AT0000A1GQR5,Euro,Austria,Corporate,Inhaberschuldverschreibung,Fixed then Floating,"267,998,799",Investment Grade,6.0291140,--,"250,000,000",Austria,Banking,A,Actual,Rating Outlook Stable,,Foreign
Banco Comercial Portugues SA,BCP,0.0000,28/10/2025,22/07/2010,PTBCSFOE0024,Euro,Portugal,Corporate,Obrigacao Hipotecaria (Covered Bond),Fixed Margin over Index,"1,071,995,197",Investment Grade,2.7531740,--,"1,000,000,000",Portugal,Banking,BB,Actual,Rating Outlook Positive,,Foreign
KeyCorp,KEY,4.1500,28/10/2025,28/10/2018,US49326EEH27,US Dollar,United States,Corporate,Note,Plain Vanilla Fixed Coupon,"500,000,000",Investment Grade,4.8415440,44.0,"500,000,000",United States,Banking,A-,Actual,Rating Outlook Stable,,Foreign
Banco de Credito e Inversiones,BCI,0.2500,28/10/2025,20/10/2019,CH0505011889,Swiss Franc,Switzerland,Corporate,Bond,Plain Vanilla Fixed Coupon,"114,229,765",Investment Grade,2.8332180,158.4,"105,000,000",Chile,Banking,A-,Actual,Rating Outlook Stable,,Foreign
Wens Foodstuff Group Co Ltd,GDWEN,2.3490,28/10/2025,28/10/2020,XS2239632776,US Dollar,Eurobond,Corporate,Note,Plain Vanilla Fixed Coupon,"350,000,000",High Yield,6.7109240,233.7,"229,805,000",China (Mainland),Food Processors,BB+,Actual,Rating Outlook Negative,,Foreign
SLM Corp,SLM,4.2000,28/10/2025,28/10/2020,US78442PGD24,US Dollar,United States,Corporate,Note,Plain Vanilla Fixed Coupon,"500,000,000",High Yield,7.5222400,312.4,"500,000,000",United States,Financial - Other,BB+,Actual,Rating Outlook Positive,,Foreign
DZ BANK AG Deutsche Zentral Genossenschaftsbank Frankfurt am Main,DBANK,0.2350,28/10/2025,28/10/2021,DE000DFK0MB9,Euro,Germany,Corporate,Inhaberschuldverschreibung,Plain Vanilla Fixed Coupon,"107,199,519",Investment Grade,3.9189760,121.3,"100,000,000",Germany,Banking,AA-,Actual,Rating Outlook Stable,,Foreign
Bank of Queensland Ltd,BOQ,4.4812,28/10/2025,28/04/2022,AU3FN0068300,Australian Dollar,Australia,Corporate,Note,Fixed Margin over Index,"376,110,047",Investment Grade,4.4943500,--,"540,000,000",Australia,Banking,A-,Actual,Rating Outlook Stable,,Foreign
Bank of Queensland Ltd,BOQ,4.0000,28/10/2025,28/04/2022,AU3CB0288843,Australian Dollar,Australia,Corporate,Note,Plain Vanilla Fixed Coupon,"104,475,013",Investment Grade,4.8522830,138.4,"150,000,000",Australia,Banking,A-,Actual,Rating Outlook Stable,,Foreign
Royal Bank of Canada,RY,0.7120,28/10/2025,28/10/2015,JP512413CFA5,Japanese Yen,Japan,Corporate,Bond,Plain Vanilla Fixed Coupon,"74,773,413",Investment Grade,0.7310000,75.1,"9,900,000,000",Canada,Banking,AA-,Actual,Rating Outlook Stable,,Foreign
Capital One Financial Corp,COF,4.2000,28/10/2025,28/10/2015,US14040HBJ32,US Dollar,United States,Corporate,Note,Plain Vanilla Fixed Coupon,"1,500,000,000",Investment Grade,5.4315390,102.8,"1,500,000,000",United States,Financial - Other,A-,Actual,Rating Outlook Stable,,Foreign
Allied World Assurance Company Holdings I Ltd,FFHBCW,4.3500,28/10/2025,28/10/2015,US01959EAC21,US Dollar,United States,Corporate,Note,Plain Vanilla Fixed Coupon,"500,000,000",Investment Grade,6.3137500,191.3,"500,000,000",Canada,Property and Casualty Insurance,WD,Actual,Rating Outlook Stable,,Foreign
International Business Machines Corp,IBM,7.0000,29/10/2025,29/10/1995,US459200AM34,US Dollar,United States,Corporate,Debenture,Plain Vanilla Fixed Coupon,"600,000,000",Investment Grade,4.7707320,36.1,"600,000,000",United States,Information/Data Technology,WD,Actual,,,Foreign
